symbol,date,open,high,low,close,volume,sources
ETH,2025-08-18,4474.39523363195,4484.5,4227.39,4313.8975046587,28414599060.31,2
ETH,2025-08-19,4313.9101867072495,4356.5,4067.28,4074.58210071215,26932008529.84,2
ETH,2025-08-20,4075.7,4563.72,4063.26,4334.5003930871,41626342123.38552,3
ETH,2025-08-21,4335.4487796481,4340.41,4204.16,4224.08492663795,17811241853.185,2
ETH,2025-08-22,4224.345446993901,4886.5,4207.73,4830.97436150825,40266542131.990005,2
ETH,2025-08-23,4830.84410154495,4831.610686537,4661.09,4776.6351763966995,18951786455.065002,2
ETH,2025-08-24,4776.7047831539,4955.89,4074.75,4779.6473316152,27814037595.094646,3
ETH,2025-08-25,4779.88473360695,4797.68,4336.8,4375.32888341745,33609583405.954998,2
ETH,2025-08-26,4375.275137482649,4635.1,4313.23,4601.188370773551,28390698420.485,2
ETH,2025-08-27,4601.23011966075,4663.74,4482.76,4505.41142181155,23000203689.47,2
ETH,2025-08-28,4507.43,4946.05,4341.54,4507.1776761205,35898825608.295586,3
ETH,2025-08-29,4509.8807716804,4517.24,4270.22,4360.421502984949,24670195231.405,2
ETH,2025-08-30,4360.38945079445,4415.32,4258.66,4374.546688831,13394026299.85,2
ETH,2025-08-31,4374.9167168487,4498.78,4373.5968927219,4391.2245651208505,13885107611.53,2
ETH,2025-09-01,4392.43,4625.35,4212.31,4314.85,22269795530.723904,3
ETH,2025-09-02,4314.6205440408,4417.1,4257.73,4325.9429199093,20900876914.78,2
ETH,2025-09-03,4325.608199503,4492.46,4283.79,4451.359479369799,18455156740.33,2
ETH,2025-09-04,4451.272956413,4484.3,4266.19,4298.64211120465,18405719617.78,2
ETH,2025-09-05,4298.8370518843,4487.87,4238.45,4306.9889316018,29893273380.076374,3
ETH,2025-09-06,4307.2716141692,4328.68,4239.48,4274.3860314515005,9385695593.550001,2
ETH,2025-09-07,4274.34840273515,4335.97,4271.42,4305.76383417485,8977480095.465,2
ETH,2025-09-08,4305.78057210385,4384.03,4279.43,4307.3461588677,16846442428.42,2
ETH,2025-09-09,4306.62,4467.61,4250.48,4309.69,26393884729.75394,3
ETH,2025-09-10,4309.59579133395,4454.16,4284.83,4349.62307453215,20608949001.765,2
ETH,2025-09-11,4349.65015061985,4480.11,4339.7166563778,4461.1716663276,18851384619.895,2
ETH,2025-09-12,4461.29462850455,4746.46,4452.72,4715.19315498325,23021241132.28,2
ETH,2025-09-13,4714.703579182,4767.44,4279.58,4669.05,34843845976.8,3
ETH,2025-09-14,4668.610682548549,4694.21,4580.28,4608.1288062152,14607600993.185,2
ETH,2025-09-15,4608.1915058071,4672.07,4466.48,4526.045122629101,20857190302.454998,2
ETH,2025-09-16,4525.6740994212505,4539.27,4425.47,4503.4123056703,17096978700.26,2
ETH,2025-09-17,4503.6356814111,4762.74,4426.97,4592.35,28053763147.05997,3
ETH,2025-09-18,4592.39638026405,4646.7,4555.5,4589.77952364905,17485525861.91,2
ETH,2025-09-19,4589.57284503015,4622.36,4438.71,4471.2385394167995,15794730554.599998,2
ETH,2025-09-20,4471.2692835055495,4511.93,4457.46,4482.5478008601,9270509081.26,2
ETH,2025-09-21,4482.83,4637.85,4440.0,4451.3289723137,14314030981.454111,3
ETH,2025-09-22,4449.5553266086,4458.09,4081.71,4202.8686521194995,30490119479.565002,2
ETH,2025-09-23,4202.9407591830495,4231.67,4118.33,4165.6019549541,16945549969.804998,2
ETH,2025-09-24,4165.5562883003,4208.71,4078.05,4154.0345775388,17391327117.04,2
ETH,2025-09-25,4154.6,4497.46,3825.56,3876.07,29988924904.58222,3
ETH,2025-09-26,3872.3804758592,4071.6,3868.4335626315,4035.3589129132997,25007998597.489998,2
ETH,2025-09-27,4035.3722321622,4040.36,3975.23,4019.7391181786,10494923358.085001,2
ETH,2025-09-28,4019.7398297050504,4146.51,3968.12,4142.68325103305,12778710852.715,2
ETH,2025-09-29,4143.89,4238.84,3833.75,4217.3415851884,21656522951.624653,3
ETH,2025-09-30,4217.5625004230005,4247.85,4093.58,4146.168863601,19633228752.355003,2
ETH,2025-10-01,4146.20680475315,4357.3,4124.52,4350.8211970067005,23996771038.01,2
ETH,2025-10-02,4351.3852681165,4520.76,4335.44,4487.907020850051,24984164055.23,2
ETH,2025-10-03,4486.9345115802,4595.84,4089.64,4514.870454925,41104321433.11955,3
ETH,2025-10-04,4515.454633837349,4521.67,4443.4,4489.518615378151,11265796590.69,2
ETH,2025-10-05,4489.4467232017505,4619.69,4470.16,4515.671490059251,23070153258.36,2
ETH,2025-10-06,4515.610301482549,4738.74,4490.67,4687.155735802749,23507969510.425,2
ETH,2025-10-07,4585.360000000001,4758.41,4443.26,4587.755,24195628426.597923,2
SOL,2025-07-08,148.8719574192,152.7966022391,147.9498762498,151.8103911487,3885408944.07,1
SOL,2025-07-09,151.77019556994998,157.97,150.62,157.1957568402,2509512381.39,2
SOL,2025-07-10,157.1957568402,165.38,155.75,164.2013852257,2975449688.8849998,2
SOL,2025-07-11,164.2012650927,168.21,159.65,162.93169198355,3705085232.37,2
SOL,2025-07-12,162.93169198355,163.98,157.81,160.72242045675,1964378734.86,2
SOL,2025-07-13,160.72242045675,164.22,159.73,161.2070051476,2002257645.075,2
SOL,2025-07-14,161.2070051476,168.66,160.71,162.2676143755,3709525759.66,2
SOL,2025-07-15,162.26780668319998,164.24,157.22,163.99022027360002,3380190138.18,2
SOL,2025-07-16,163.99022027360002,176.08,161.56,173.71923820585,4432090965.82,2
SOL,2025-07-17,173.71923820585,178.23,168.82,175.8965198097,4141804905.2400002,2
SOL,2025-07-18,175.89596326575,184.76,173.37,177.3709882083,4466178947.434999,2
SOL,2025-07-19,177.37095961865,178.71,174.15,177.0600607769,2172710151.89,2
SOL,2025-07-20,177.0602505013,183.71,176.43,181.5430176817,3436506048.19,2
SOL,2025-07-21,181.5426288675,199.45,178.39,195.90713225205,5989338777.99,2
SOL,2025-07-22,195.90395001665001,206.4,193.89,205.7502754294,7680139320.92,2
SOL,2025-07-23,205.7556223681,205.84,184.1,189.52146734069999,5608298927.75,2
SOL,2025-07-24,189.5196550422,192.02,179.48,182.78802928195,4711242980.32,2
SOL,2025-07-25,182.78697374465,186.92,175.77,186.78982839145,4580846064.465,2
SOL,2025-07-26,186.78989954405,189.79,184.43,184.91693949575,1970154143.375,2
SOL,2025-07-27,184.91598739255,190.74,184.62,188.72174308860002,2455900932.545,2
SOL,2025-07-28,188.7210468726,195.31,182.22,182.83578140179998,3924200163.265,2
SOL,2025-07-29,182.84424581604998,186.64,178.26,181.40265560005,2855990044.21,2
SOL,2025-07-30,181.40265560005,182.5,170.45,177.73200768055,3169754790.805,2
SOL,2025-07-31,177.73189562689998,182.67,171.49,172.32217239940002,2858793223.14,2
SOL,2025-08-01,172.31855950385,172.4171190077,159.2,162.7735432552,4359054505.42,2
SOL,2025-08-02,162.7735432552,165.21,155.81,158.4815064233,2321409523.2549996,2
SOL,2025-08-03,158.48170998855,163.13,156.3,161.98248311384998,1912188701.9950001,2
SOL,2025-08-04,161.98648051355,169.83,161.33,169.49784341244998,2611372025.065,2
SOL,2025-08-05,169.49888627015,171.69,161.31,164.08321853195,2592939621.145,2
SOL,2025-08-06,164.08428234255,169.97,161.19,168.16786392125,2018052961.99,2
SOL,2025-08-07,168.1677181466,175.55,166.74,175.4627168221,2702613550.2850003,2
SOL,2025-08-08,175.46273134025,179.64,173.51,176.7966424732,3445948823.83,2
SOL,2025-08-09,176.7965607268,183.45,176.67,180.0861746933,2766872468.515,2
SOL,2025-08-10,180.0864439642,186.17,177.55,182.8165107722,3499183576.12,2
SOL,2025-08-11,182.81651823655,186.77,173.47,174.92891029085,3835898614.865,2
